"STOCK LIST AS AT 06.04.26, 11.16AM",,,,,,
,,,,,,
,,,,,,
BIN,Item Code,Description,Desc 2,Total Bal. Qty,Cost,Item Group
,RELCO-13L22-03,"RELCO 3 PHASE S/W TRANSFORMER C/W CASING, PILOT LAMP & INDUSTRIAL SOCKET",001522 13PH/AT-C,1,1150,TRANSFOR
,RELCO-13L22-06,"RELCO 3 PHASE S/W TRANSFORMER C/W CASING, PILOT LAMP & INDUSTRIAL SOCKET",001522 13PH/AT-C,1,1150,TRANSFOR
,RELCO-13L22-07,"RELCO 3 PHASE S/W TRANSFORMER C/W CASING, PILOT LAMP & INDUSTRIAL SOCKET",001522 13PH/AT-C,1,1150,TRANSFOR
,RELCO-13L22-08,"RELCO 3 PHASE S/W TRANSFORMER C/W CASING, PILOT LAMP & INDUSTRIAL SOCKET",001522 13PH/AT-C,1,1150,TRANSFOR
,252113010002,NOBLELIFT SOLID TYRE 650X10,CHAO YANG,4,696.21,TYRE
,254115510006,NOBLELIFT SOLID TYRE 500X8,CHAO YANG,0,553.83,TYRE
,T-ADV-NM-200/50-10-H,WHITE SOLID TYRE ADVANCE 200/50-10,200/50-10,10,418.7825,TYRE
,T-ADV-NM-700X12-H,WHITE SOLID TYRE ADVANCE 700X12,700X12,8,679.285,TYRE
,T-HC/JITUO-18X7-8/4.33,HANGCHA SOLID TYRE BSXT4007 18X7-8/4.33 PREMIUM JITUO集拓轮胎,18X7-8/4.33,0,263.56,TYRE
,T-HC/JITUO-200/50-10/6.5,HANGCHA SOLID TYRE BSXT9044 200/50-10/6.5 PREMIUM JITUO集拓轮胎,200/50-10/6.5,2,296.16,TYRE
,T-HC/JITUO-21X8-9/6,HANGCHA SOLID TYRE BSXT4012 21X8-9/6 PREMIUM JITUO集拓轮胎,21X8-9/6,0,411.91,TYRE
,T-HC/JITUO-28X9-15/7,HANGCHA SOLID TYRE BSXT4010 28X9-15/7 PREMIUM JITUO集拓轮胎,28X9-15/7,2,791.19,TYRE
,T-HC/JITUO-300X15-8,HANGCHA SOLID TYRE BSXT4004 300X15-8 PREMIUM JITUO集拓轮胎,300X15-8,2,1374.06,TYRE
,T-HC/JITUO-500X8-3,HANGCHA SOLID TYRE BSXT4008 500X8-3 PREMIUM 3 SHIFT: 24HR/DAY JITUO集拓轮胎,500X8-3,2,205.69,TYRE
,T-HC/JITUO-600X9-4,HANGCHA SOLID TYRE BSXT4003 600X9-4 PREMIUM JITUO集拓轮胎,600X9-4,4,320.9,TYRE
,T-HC/JITUO-650X10-5,HANGCHA SOLID TYRE BSXT4001 650X10-5 PREMIUM JITUO集拓轮胎,650X10-5,0,422.43,TYRE
,T-HC/JITUO-700X12-5,HANGCHA SOLID TYRE BSXT4011 700X12-5 PREMIUM JITUO集拓轮胎,700X12-5,0,576.03,TYRE
,T-HUGE-16X6-8-B,HUGE B-103 SOLID TYRES 16X6-8,16X6-8,6,235,TYRE
,T-HUGE-18X7-8-S,HUGE B-103 SOLID TYRES 18X7-8,18X7-8,10,270,TYRE
,T-HUGE-200/50-10,HUGE SOLID TYRE 200/50-10 QUICK TYRE, 200/50-10,0,358,TYRE
,T-HUGE-21X8-9 NM-S,HUGE B-103 NON-MARKING TYRES 21X8-9,21X8-9,0,631,TYRE
